cod;denumire;denumire_scurta
03035700;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Heringi (Clupea harengus, Clupea pallasii), anșoa (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), sardinele (Sardinella spp.), șprot (Sprattus sprattus), scrumbii (Scomber scombrus, Scomber australasicus, Scomber japonicus), specii de pești din genul Rastrelliger (Rastrelliger spp.), specii de pești din genul Scomberomorus (Scomberomorus spp.), stavrizi (Trachurus spp.), specii de pești din genul Caranx (Caranx spp.), cobie (Rachycentron canadum), specii de pești din genul Pampus (Pampus spp.), scrumbioară de Pacific (Cololabis saira), specii de pești din genul Decapterus (Decapterus spp.), capelin (Mallotus villosus), pește-spadă (Xiphias gladius), ton mic (Euthynnus affinis), bonite (Sarda spp.), marlini, pești călători, pește-sabie (Istiophoridae), cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Pește-spadă (Xiphias gladius)";"Pește-spadă (Xiphias gladius)"
03035910;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Heringi (Clupea harengus, Clupea pallasii), anșoa (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), sardinele (Sardinella spp.), șprot (Sprattus sprattus), scrumbii (Scomber scombrus, Scomber australasicus, Scomber japonicus), specii de pești din genul Rastrelliger (Rastrelliger spp.), specii de pești din genul Scomberomorus (Scomberomorus spp.), stavrizi (Trachurus spp.), specii de pești din genul Caranx (Caranx spp.), cobie (Rachycentron canadum), specii de pești din genul Pampus (Pampus spp.), scrumbioară de Pacific (Cololabis saira), specii de pești din genul Decapterus (Decapterus spp.), capelin (Mallotus villosus), pește-spadă (Xiphias gladius), ton mic (Euthynnus affinis), bonite (Sarda spp.), marlini, pești călători, pește-sabie (Istiophoridae), cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Anșoa (Engraulis spp.)";"Anșoa (Engraulis spp.)"
03035921;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Heringi (Clupea harengus, Clupea pallasii), anșoa (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), sardinele (Sardinella spp.), șprot (Sprattus sprattus), scrumbii (Scomber scombrus, Scomber australasicus, Scomber japonicus), specii de pești din genul Rastrelliger (Rastrelliger spp.), specii de pești din genul Scomberomorus (Scomberomorus spp.), stavrizi (Trachurus spp.), specii de pești din genul Caranx (Caranx spp.), cobie (Rachycentron canadum), specii de pești din genul Pampus (Pampus spp.), scrumbioară de Pacific (Cololabis saira), specii de pești din genul Decapterus (Decapterus spp.), capelin (Mallotus villosus), pește-spadă (Xiphias gladius), ton mic (Euthynnus affinis), bonite (Sarda spp.), marlini, pești călători, pește-sabie (Istiophoridae), cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Ton mic (Euthynnus affinis) — Destinați fabricării industriale a produselor de la poziția 1604";"Destinați fabricării industriale a produselor de la poziția 1604"
03035929;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Heringi (Clupea harengus, Clupea pallasii), anșoa (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), sardinele (Sardinella spp.), șprot (Sprattus sprattus), scrumbii (Scomber scombrus, Scomber australasicus, Scomber japonicus), specii de pești din genul Rastrelliger (Rastrelliger spp.), specii de pești din genul Scomberomorus (Scomberomorus spp.), stavrizi (Trachurus spp.), specii de pești din genul Caranx (Caranx spp.), cobie (Rachycentron canadum), specii de pești din genul Pampus (Pampus spp.), scrumbioară de Pacific (Cololabis saira), specii de pești din genul Decapterus (Decapterus spp.), capelin (Mallotus villosus), pește-spadă (Xiphias gladius), ton mic (Euthynnus affinis), bonite (Sarda spp.), marlini, pești călători, pește-sabie (Istiophoridae), cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Ton mic (Euthynnus affinis)";Altele
03035990;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Heringi (Clupea harengus, Clupea pallasii), anșoa (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), sardinele (Sardinella spp.), șprot (Sprattus sprattus), scrumbii (Scomber scombrus, Scomber australasicus, Scomber japonicus), specii de pești din genul Rastrelliger (Rastrelliger spp.), specii de pești din genul Scomberomorus (Scomberomorus spp.), stavrizi (Trachurus spp.), specii de pești din genul Caranx (Caranx spp.), cobie (Rachycentron canadum), specii de pești din genul Pampus (Pampus spp.), scrumbioară de Pacific (Cololabis saira), specii de pești din genul Decapterus (Decapterus spp.), capelin (Mallotus villosus), pește-spadă (Xiphias gladius), ton mic (Euthynnus affinis), bonite (Sarda spp.), marlini, pești călători, pește-sabie (Istiophoridae), cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele";Altele
03036310;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) — Din specia Gadus morhua";"Din specia Gadus morhua"
03036330;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) — Din specia Gadus ogac";"Din specia Gadus ogac"
03036390;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) — Din specia Gadus macrocephalus";"Din specia Gadus macrocephalus"
03036400;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Eglefin (Melanogrammus aeglefinus)";"Eglefin (Melanogrammus aeglefinus)"
03036500;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Cod negru (Pollachius virens)";"Cod negru (Pollachius virens)"
03036611;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merluciu (Merluccius spp., Urophycis spp.) — Pești marini din genul Merluccius — Pești marini din specia Merluccius capensis sau Merluccius paradoxus";"Pești marini din specia Merluccius capensis sau Merluccius paradoxus"
03036612;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merluciu (Merluccius spp., Urophycis spp.) — Pești marini din genul Merluccius — Pești marini din specia Merluccius hubbsi";"Pești marini din specia Merluccius hubbsi"
03036613;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merluciu (Merluccius spp., Urophycis spp.) — Pești marini din genul Merluccius — Pești marini din specia Merluccius australis";"Pești marini din specia Merluccius australis"
03036619;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merluciu (Merluccius spp., Urophycis spp.) — Pești marini din genul Merluccius — Altele";Altele
03036690;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merluciu (Merluccius spp., Urophycis spp.) — Pești marini din genul Urophycis";"Pești marini din genul Urophycis"
03036700;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Pește marin de Alaska (Theragra chalcogramma)";"Pește marin de Alaska (Theragra chalcogramma)"
03036810;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merlani albaștri (Micromesistius poutassou, Micromesistius australis) — Merlani albaștri (Micromesistius poutassou)";"Merlani albaștri (Micromesistius poutassou)"
03036890;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Merlani albaștri (Micromesistius poutassou, Micromesistius australis) — Merlani albaștri sudici (Micromesistius australis)";"Merlani albaștri sudici (Micromesistius australis)"
03036910;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Cod arctic (Boreogadus saida)";"Cod arctic (Boreogadus saida)"
03036930;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Merlani (Merlangius merlangus)";"Merlani (Merlangius merlangus)"
03036950;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Polac (Pollachius pollachius)";"Polac (Pollachius pollachius)"
03036970;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Grenadieri albaștri (Macruronus novaezelandiae)";"Grenadieri albaștri (Macruronus novaezelandiae)"
03036980;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Mihalți-de-mare (Molva spp.)";"Mihalți-de-mare (Molva spp.)"
03036990;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele";Altele
03038115;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Câini de mare și alte specii de rechini — Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)";"Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)"
03038130;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Câini de mare și alte specii de rechini — Rechinul Scrumbiilor (Lamna nasus)";"Rechinul Scrumbiilor (Lamna nasus)"
03038140;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Câini de mare și alte specii de rechini — Rechin albastru (Prionace glauca)";"Rechin albastru (Prionace glauca)"
03038150;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Câini de mare și alte specii de rechini — Rechin mako (Isurus Oxyrinchus)";"Rechin mako (Isurus Oxyrinchus)"
03038180;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Câini de mare și alte specii de rechini — Altele";Altele
03038200;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Pisici și vulpi-de-mare (Rajidae)";"Pisici și vulpi-de-mare (Rajidae)"
03038300;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — „Toothfish” (Dissostichus spp.)";"„Toothfish” (Dissostichus spp.)"
03038410;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Lupi de mare (Dicentrarchus spp.) — Lupi de mare (Dicentrarchus labrax)";"Lupi de mare (Dicentrarchus labrax)"
03038490;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Lupi de mare (Dicentrarchus spp.) — Altele";Altele
03038910;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Pești de apă dulce";"Pești de apă dulce"
03038921;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Pești din genul Euthynnus, alții decât tonul mic (Euthynnus affinis) de la subpoziția 030359 — Destinați fabricării industriale a produselor de la poziția 1604";"Destinați fabricării industriale a produselor de la poziția 1604"
03038929;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Pești din genul Euthynnus, alții decât tonul mic (Euthynnus affinis) de la subpoziția 030359";Altele
03038931;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Sebaste (Sebastes spp.) — Din specia Sebastes marinus";"Din specia Sebastes marinus"
03038939;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Sebaste (Sebastes spp.)";Altele
03038940;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Pești din specia Orcynopsis unicolor";"Pești din specia Orcynopsis unicolor"
03038950;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Dorada de mare din specia Dentex dentex sau Pagellus spp.";"Dorada de mare din specia Dentex dentex sau Pagellus spp."
03038955;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Dorade regale (Sparus aurata)";"Dorade regale (Sparus aurata)"
03038960;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Pești din specia Brama (Brama spp.)";"Pești din specia Brama (Brama spp.)"
03038965;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Peşte-undiţar (Lophius spp.)";"Peşte-undiţar (Lophius spp.)"
03038970;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele — Țipari roz (Genypterus blacodes)";"Țipari roz (Genypterus blacodes)"
03038990;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Alți pești, cu excepția organelor comestibile de pește de la subpozițiile 030391-030399 — Altele";Altele
03039110;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Ficat, icre și lapți — Icre și lapți folosiți pentru obținerea acidului dezoxiribonucleic sau a sulfatului de protamina";"Icre și lapți folosiți pentru obținerea acidului dezoxiribonucleic sau a sulfatului de protamina"
03039190;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Ficat, icre și lapți — Altele";Altele
03039215;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Înotătoare de rechin — Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)";"Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)"
03039230;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Înotătoare de rechin — Rechinul scrumbiilor (Lamna nasus)";"Rechinul scrumbiilor (Lamna nasus)"
03039240;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Înotătoare de rechin — Rechin albastru (Prionace glauca)";"Rechin albastru (Prionace glauca)"
03039250;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Înotătoare de rechin — Rechin mako (Isurus Oxyrinchus)";"Rechin mako (Isurus Oxyrinchus)"
03039290;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Înotătoare de rechin — Altele";Altele
03039900;"Pești congelați, cu excepția fileurilor de pește și a cărnii de pește de la poziția 0304 — Ficat, icre, lapți, înotătoare, capete, cozi, vezici înotătoare de pește și alte organe comestibile de pește — Altele";Altele
03043100;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri proaspete sau refrigerate de tilapia (Oreochromis spp.), specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), crapi (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anghile (Anguilla spp.), biban de Nil (Lates niloticus) și pești cap-de-șarpe (Channa spp.) — Tilapia (Oreochromis spp.)";"Tilapia (Oreochromis spp.)"
03043200;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri proaspete sau refrigerate de tilapia (Oreochromis spp.), specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), crapi (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anghile (Anguilla spp.), biban de Nil (Lates niloticus) și pești cap-de-șarpe (Channa spp.) — Specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)";"Specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
03043300;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri proaspete sau refrigerate de tilapia (Oreochromis spp.), specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), crapi (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anghile (Anguilla spp.), biban de Nil (Lates niloticus) și pești cap-de-șarpe (Channa spp.) — Biban de Nil (Lates niloticus)";"Biban de Nil (Lates niloticus)"
03043900;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri proaspete sau refrigerate de tilapia (Oreochromis spp.), specii de Anarhicatide (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), crapi (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anghile (Anguilla spp.), biban de Nil (Lates niloticus) și pești cap-de-șarpe (Channa spp.) — Altele";Altele
03044100;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Somoni de Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou și Oncorhynchus rhodurus), somon de Atlantic (Salmo salar) și lostriță (Hucho hucho)";"Somoni de Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou și Oncorhynchus rhodurus), somon de Atlantic (Salmo salar) și lostriță (Hucho hucho)"
03044210;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Păstrăvi (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache și Oncorhynchus chrysogaster) — Din specia Oncorhynchus mykiss cântărind peste 400 g fiecare";"Din specia Oncorhynchus mykiss cântărind peste 400 g fiecare"
03044250;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Păstrăvi (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache și Oncorhynchus chrysogaster) — Din specia Oncorhynchus apache sau Oncorhynchus chrysogaster";"Din specia Oncorhynchus apache sau Oncorhynchus chrysogaster"
03044290;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Păstrăvi (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache și Oncorhynchus chrysogaster) — Altele";Altele
03044300;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Pești plați (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae și Citharidae)";"Pești plați (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae și Citharidae)"
03044410;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae — Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) și cod arctic (Boreogadus saida)";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) și cod arctic (Boreogadus saida)"
03044430;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae — Cod negru (Pollachius virens)";"Cod negru (Pollachius virens)"
03044490;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Pești din familiile Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae și Muraenolepididae — Altele";Altele
03044500;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — De pești-spadă (Xiphias gladius)";"De pești-spadă (Xiphias gladius)"
03044600;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — De „Toothfish” (Dissostichus spp.)";"De „Toothfish” (Dissostichus spp.)"
03044710;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Câini de mare și alte specii de rechini — Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)";"Câini de mare (Squalus acanthias) și rechini pisică (Scyliorhinus spp.)"
03044720;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Câini de mare și alte specii de rechini — Rechinul scrumbiilor (Lamna nasus)";"Rechinul scrumbiilor (Lamna nasus)"
03044730;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Câini de mare și alte specii de rechini — Rechin albastru (Prionace glauca)";"Rechin albastru (Prionace glauca)"
03044790;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Câini de mare și alte specii de rechini — Altele";Altele
03044800;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Pisici și vulpi-de-mare (Rajidae)";"Pisici și vulpi-de-mare (Rajidae)"
03044910;"Fileuri de pește și carne de pește (chiar tocată), proaspete, refrigerate sau congelate — Fileuri de alte specii de pește, proaspete sau refrigerate — Altele — Pești de apă dulce";"Pești de apă dulce"
