cod;denumire;denumire_scurta
01061300;"Alte animale vii — Mamifere — Cămile și alte camelide (Camelidae)";"Cămile și alte camelide (Camelidae)"
01061410;"Alte animale vii — Mamifere — Iepuri și iepuri de câmp — Iepuri domestici";"Iepuri domestici"
01061490;"Alte animale vii — Mamifere — Iepuri și iepuri de câmp — Altele";Altele
01061900;"Alte animale vii — Mamifere — Altele";Altele
01062000;"Alte animale vii — Reptile (inclusiv șerpi și broaște țestoase de mare)";"Reptile (inclusiv șerpi și broaște țestoase de mare)"
01063100;"Alte animale vii — Păsări — Păsări de pradă";"Păsări de pradă"
01063200;"Alte animale vii — Păsări — Psittaciforme (inclusiv papagali, peruși, arakanga și cacaduu)";"Psittaciforme (inclusiv papagali, peruși, arakanga și cacaduu)"
01063300;"Alte animale vii — Păsări — Struți; emu (Dromaius novaehollandiae)";"Struți; emu (Dromaius novaehollandiae)"
01063910;"Alte animale vii — Păsări — Altele — Porumbei";Porumbei
01063980;"Alte animale vii — Păsări — Altele";Altele
01064100;"Alte animale vii — Insecte — Albine";Albine
01064900;"Alte animale vii — Insecte — Altele";Altele
01069000;"Alte animale vii — Altele";Altele
02011000;"Carne de animale din specia bovine, proaspătă sau refrigerată — În carcase sau semicarcase";"În carcase sau semicarcase"
02012020;"Carne de animale din specia bovine, proaspătă sau refrigerată — Alte bucăți nedezosate — Sferturi numite „compensate”";"Sferturi numite „compensate”"
02012030;"Carne de animale din specia bovine, proaspătă sau refrigerată — Alte bucăți nedezosate — Sferturi anterioare neseparate sau separate";"Sferturi anterioare neseparate sau separate"
02012050;"Carne de animale din specia bovine, proaspătă sau refrigerată — Alte bucăți nedezosate — Sferturi posterioare neseparate sau separate";"Sferturi posterioare neseparate sau separate"
02012090;"Carne de animale din specia bovine, proaspătă sau refrigerată — Alte bucăți nedezosate — Altele";Altele
02013000;"Carne de animale din specia bovine, proaspătă sau refrigerată — Dezosată";Dezosată
02021000;"Carne de animale din specia bovine, congelată — În carcase sau semicarcase";"În carcase sau semicarcase"
